,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
0,mataura,15.32,168.86,-46.19,56,10.4,70,NZ,1541175286
1,tomatlan,24.6,-105.25,19.93,12,1.5,76,MX,1541175286
2,busselton,16.15,115.35,-33.64,12,5.1,100,AU,1541175286
3,bredasdorp,20.0,20.04,-34.53,0,9.8,52,ZA,1541170800
4,trinidad,20.0,-56.9,-33.52,0,7.2,52,UY,1541170800
5,komsomolskiy,-4.91,63.78,67.55,80,2.7,84,RU,1541175292
6,katsuura,10.65,134.5,33.93,12,2.3,100,JP,1541175294
7,bayan,-6.11,107.54,47.25,92,3.1,53,MN,1541175296
8,butaritari,29.1,172.79,3.07,44,4.5,100,KI,1541175297
9,taltal,18.55,-70.49,-25.41,36,1.2,81,CL,1541175298
10,mount isa,25.0,139.49,-20.73,0,2.1,69,AU,1541174400
11,chokurdakh,-21.91,147.9,70.62,48,1.25,62,RU,1541175299
12,kangaba,34.32,-8.41,11.94,0,6.55,39,ML,1541175300
13,bambous virieux,22.0,57.76,-20.34,20,3.1,88,MU,1541170800
14,zapolyarnyy,-2.0,30.82,69.43,40,9.3,92,RU,1541173800
15,puerto baquerizo moreno,24.0,-89.6,-0.9,75,4.1,73,EC,1541170800
16,norman wells,-12.0,-126.83,65.28,90,1.1,92,CA,1541170800
17,albany,16.1,-73.75,42.65,90,1.6,83,US,1541174100
18,rikitea,22.35,-134.97,-23.12,68,9.85,100,PF,1541175304
19,sitka,10.17,-99.65,37.17,56,5.55,44,US,1541175304
20,teguise,23.0,-13.56,29.06,75,10.8,60,ES,1541174400
21,tasiilaq,-1.0,-37.64,65.61,40,3.6,58,GL,1541173800
22,vila velha,31.0,-38.6,-3.71,40,7.2,62,BR,1541174400
23,ulaanbaatar,-8.0,106.92,47.92,40,4.0,72,MN,1541174400
24,amga,-8.58,131.98,60.89,44,3.55,54,RU,1541175308
25,fortuna,21.0,-1.13,38.18,40,6.2,46,ES,1541174400
26,surt,25.92,16.59,31.21,44,6.0,72,LY,1541175310
27,port alfred,18.4,26.89,-33.59,0,5.9,81,ZA,1541175310
28,camopi,34.47,-52.33,3.17,24,1.35,45,GF,1541175311
29,buchanan,32.0,-10.05,5.88,75,5.7,66,LR,1541172600
30,jamestown,14.35,138.6,-33.21,0,3.5,57,AU,1541175048
31,upernavik,-7.06,-56.15,72.79,20,2.1,100,GL,1541175314
32,port hardy,10.0,-127.42,50.7,75,2.6,87,CA,1541174400
33,hermanus,25.9,19.24,-34.42,0,2.1,28,ZA,1541175316
34,plouzane,13.0,-4.62,48.38,0,2.6,54,FR,1541174400
35,carnarvon,23.1,22.13,-30.97,0,2.7,7,ZA,1541175317
36,lebu,19.4,38.73,8.96,0,3.45,32,ET,1541175318
37,luganville,25.72,167.18,-15.51,92,9.85,100,VU,1541175318
38,kaka,-0.96,59.62,37.35,36,1.05,100,TM,1541175319
39,hambantota,26.7,81.12,6.12,24,1.25,100,LK,1541175319
40,atuona,27.0,-139.03,-9.8,8,4.9,100,PF,1541175322
41,tocopilla,17.32,-70.2,-22.09,0,1.75,95,CL,1541175323
42,qaanaaq,-17.28,-69.36,77.48,0,4.45,100,GL,1541175323
43,mar del plata,17.55,-67.52,-46.43,20,3.85,49,AR,1541175324
44,kargalinskaya,12.0,46.48,43.74,0,10.4,65,RU,1541175324
45,kharovsk,3.82,40.21,59.95,88,2.2,96,RU,1541175326
46,mangrol,22.72,76.51,25.33,8,2.1,50,IN,1541175327
47,kapaa,25.0,-159.32,22.08,75,6.2,79,US,1541172540
48,zaltan,18.22,11.87,32.95,88,2.7,100,LY,1541175329
49,east london,19.0,27.91,-33.02,20,6.2,55,ZA,1541170800
50,provideniya,2.5,-173.23,64.42,48,9.35,100,RU,1541175332
51,hobart,8.0,147.33,-42.88,40,12.3,61,AU,1541174400
52,amsterdam,10.0,4.89,52.37,20,7.2,70,NL,1541170500
53,tessalit,33.65,1.01,20.2,0,3.7,23,ML,1541175335
54,kutum,31.0,24.66,14.2,0,2.9,13,SD,1541175336
55,castro,10.67,-73.76,-42.48,56,1.5,88,CL,1541175336
56,punta arenas,13.0,-70.91,-53.16,75,7.7,43,CL,1541170800
57,tuktoyaktuk,-12.0,-133.03,69.44,90,2.6,92,CA,1541170800
58,yar-sale,-11.01,70.83,66.83,56,9.6,100,RU,1541175338
59,los llanos de aridane,22.0,-17.92,28.66,75,6.7,78,ES,1541174400
60,jinchang,-0.21,102.19,38.52,64,3.05,77,CN,1541175340
61,taoudenni,29.2,-3.98,22.68,0,2.1,28,ML,1541175341
62,avarua,24.0,-159.78,-21.21,40,5.1,78,CK,1541170800
63,bluff,19.2,149.07,-23.58,0,3.9,80,AU,1541175343
64,ushuaia,11.0,-68.31,-54.81,90,2.1,67,AR,1541170800
65,hofn,-1.0,-15.21,64.25,40,2.6,74,IS,1541174400
66,ashland,8.9,-82.64,38.48,90,3.6,73,US,1541173860
67,milkovo,17.0,24.68,41.53,48,0.5,93,BG,1541174400
68,vila franca do campo,21.0,-25.43,37.72,75,4.6,73,PT,1541174400
69,dwarka,24.0,77.04,28.58,64,3.1,60,IN,1541174400
70,mirabad,10.1,61.33,28.27,12,4.55,25,IR,1541175349
71,ancud,10.7,-73.83,-41.87,88,1.45,91,CL,1541175350
72,kruisfontein,17.47,24.73,-34.0,0,8.25,81,ZA,1541175350
73,mandan,3.9,-100.89,46.83,90,2.6,100,US,1541174100
74,victoria,27.0,115.24,5.28,90,2.1,88,BN,1541174400
75,mitchell,6.1,-98.03,43.71,90,3.1,85,US,1541173980
76,san pedro del pinatar,21.0,-0.79,37.84,0,2.1,59,ES,1541174400
77,butterworth,27.0,100.37,5.4,75,1.8,88,MY,1541174400
78,port elizabeth,22.0,-74.98,39.31,20,3.6,86,US,1541174100
79,dicabisagan,23.55,122.42,17.08,0,1.25,100,PH,1541175357
80,arraial do cabo,28.0,-42.02,-22.97,75,4.1,69,BR,1541170800
81,coahuayana,22.65,-100.35,18.62,48,1.05,60,MX,1541175359
82,cherskiy,-16.06,161.3,68.75,36,0.85,65,RU,1541175359
83,kurilsk,6.85,147.88,45.23,0,4.35,100,RU,1541175360
84,havoysund,6.0,24.66,71.0,0,5.7,90,NO,1541173800
85,luderitz,24.0,15.16,-26.65,0,6.2,31,NA,1541170800
86,narsaq,-3.0,-46.05,60.91,20,0.5,63,GL,1541173800
87,thompson,-8.0,-97.86,55.74,75,3.6,78,CA,1541174400
88,baruun-urt,-1.43,113.28,46.68,92,7.7,74,MN,1541175365
89,kodiak,10.0,-94.76,39.95,75,6.7,71,US,1541173980
90,nanortalik,0.4,-45.24,60.14,48,5.45,95,GL,1541175367
91,vaini,25.6,74.49,15.34,92,1.05,75,IN,1541175369
92,inirida,30.5,-67.92,3.87,8,1.15,66,CO,1541175373
93,saint-augustin,14.0,-0.61,44.83,0,3.6,66,FR,1541174400
94,saint-philippe,5.0,-73.48,45.36,90,6.15,100,CA,1541174100
95,shieli,-4.08,66.74,44.18,0,2.6,73,KZ,1541175375
96,puerto ayora,24.0,-90.35,-0.74,75,2.6,64,EC,1541170800
97,eshowe,14.05,31.46,-28.89,76,1.45,89,ZA,1541175378
98,verkhoyansk,-19.28,133.39,67.55,76,1.35,70,RU,1541175379
99,sola,9.0,5.65,58.89,40,5.7,75,NO,1541173800
100,puerto escondido,27.0,-97.07,15.86,40,1.4,74,MX,1541169900
101,kalmunai,25.42,81.82,7.42,36,1.5,94,LK,1541175207
102,nome,16.7,-94.42,30.04,1,1.75,65,US,1541174100
103,ornes,8.0,5.47,49.25,90,4.1,93,FR,1541174400
104,skibbereen,10.0,-9.27,51.55,75,5.7,87,IE,1541174400
105,bushehr,27.0,50.84,28.97,75,4.1,42,IR,1541172600
106,beringovskiy,0.05,179.32,63.05,92,3.3,100,RU,1541175386
